t	p
1021.36	1.2329e-08
1023.36	1.237e-08
1025.36	1.2183e-08
1027.36	1.2225e-08
1029.36	1.2316e-08
1031.36	1.2356e-08
1033.36	1.2224e-08
1035.34	1.2144e-08
1037.36	1.211e-08
1039.36	1.2083e-08
1041.38	1.2095e-08
1043.39	1.213e-08
1045.42	1.2078e-08
1047.44	1.2017e-08
1049.47	1.2008e-08
1051.44	1.2089e-08
1053.47	1.2033e-08
1055.47	1.1972e-08
1057.47	1.1939e-08
1059.5	1.2102e-08
1061.5	1.2016e-08
1063.52	1.189e-08
1065.53	1.197e-08
1067.55	1.195e-08
1069.56	1.1856e-08
1071.58	1.1802e-08
1073.58	1.1838e-08
1075.58	1.1753e-08
1077.61	1.1795e-08
1079.59	1.1804e-08
1081.62	1.1669e-08
1083.64	1.1655e-08
1085.66	1.1836e-08
1087.66	1.1714e-08
1089.66	1.1637e-08
1091.66	1.1621e-08
1093.69	1.1577e-08
1095.72	1.1642e-08
1097.73	1.158e-08
1099.77	1.1529e-08
1101.73	1.1596e-08
1103.77	1.1484e-08
1105.77	1.1492e-08
1107.78	1.1446e-08
1109.81	1.1531e-08
1111.83	1.1368e-08
1113.83	1.1442e-08
1115.86	1.1464e-08
1117.88	1.1346e-08
1119.88	1.1385e-08
1121.88	1.1311e-08
1123.88	1.1236e-08
1125.89	1.1266e-08
1127.92	1.1257e-08
1129.94	1.1362e-08
1131.94	1.125e-08
1133.95	1.1167e-08
1135.94	1.1148e-08
1137.95	1.1151e-08
1139.95	1.1176e-08
1141.94	1.1039e-08
1143.94	1.1035e-08
1145.95	1.1118e-08
1147.94	1.1019e-08
1149.95	1.0939e-08
1151.97	1.1048e-08
1154	1.101e-08
1156.02	1.091e-08
1158.03	1.0863e-08
1160.06	1.095e-08
1162.06	1.0876e-08
1164.08	1.0929e-08
1166.09	1.0868e-08
1168.11	1.0941e-08
1170.12	1.0832e-08
1172.12	1.0753e-08
1174.12	1.0835e-08
1176.14	1.0697e-08
1178.14	1.0807e-08
1180.14	1.072e-08
1182.14	1.0725e-08
1184.14	1.0686e-08
1186.19	1.0632e-08
1188.2	1.0646e-08
1190.2	1.0644e-08
1192.2	1.0639e-08
1194.22	1.0629e-08
1196.23	1.0542e-08
1198.25	1.0434e-08
1200.25	1.044e-08
1202.25	1.0338e-08
1204.25	1.0404e-08
1206.25	1.0514e-08
1208.25	1.0436e-08
1210.25	1.0423e-08
1212.25	1.0432e-08
1214.25	1.0427e-08
1216.25	1.0294e-08
1218.25	1.0324e-08
1220.28	1.0301e-08
1222.28	1.0331e-08
1224.28	1.0316e-08
1226.3	1.0209e-08
1228.31	1.0185e-08
1230.33	1.0228e-08
1232.33	1.0139e-08
1234.33	1.0154e-08
1236.33	1.0124e-08
1238.33	1.0231e-08
1240.34	1.0156e-08
1242.36	9.96e-09
1244.36	1.008e-08
1246.36	1.0055e-08
1248.39	1.0048e-08
1250.39	9.9777e-09
1252.39	9.9704e-09
1254.41	9.9346e-09
1256.41	9.9265e-09
1258.41	9.9032e-09
1260.41	9.8397e-09
1262.41	9.8381e-09
1264.41	9.9163e-09
1266.42	9.8271e-09
1268.44	9.8233e-09
1270.44	9.8071e-09
1272.44	9.7945e-09
1274.45	9.7878e-09
1276.47	9.7421e-09
1278.48	9.7595e-09
1280.5	9.618e-09
1282.5	9.6998e-09
1284.52	9.6845e-09
1286.55	9.5911e-09
1288.55	9.6961e-09
1290.55	9.6171e-09
1292.56	9.5392e-09
1294.58	9.4844e-09
1296.59	9.5777e-09
1298.59	9.5512e-09
1300.62	9.5106e-09
1302.64	9.4376e-09
1304.66	9.5045e-09
1306.66	9.3762e-09
1308.69	9.4605e-09
1310.69	9.4136e-09
1312.7	9.3419e-09
1314.72	9.3682e-09
1316.73	9.2909e-09
1318.73	9.3722e-09
1320.73	9.3163e-09
1322.73	9.3049e-09
1324.73	9.2893e-09
1326.72	9.2158e-09
1328.75	9.2446e-09
1330.75	9.1946e-09
1332.78	9.2336e-09
1334.8	9.1584e-09
1336.81	9.1339e-09
1338.81	9.1663e-09
1340.81	9.1127e-09
1342.81	9.0354e-09
1344.78	9.068e-09
1346.83	9.081e-09
1348.83	9.0184e-09
1350.84	8.9541e-09
1352.84	9.019e-09
1354.89	8.9919e-09
1356.91	8.9841e-09
1358.92	8.8925e-09
1360.92	8.9201e-09
1362.95	8.847e-09
1364.95	8.9638e-09
1366.94	8.8408e-09
1368.95	8.7863e-09
1370.97	8.8219e-09
1372.98	8.7187e-09
1375	8.8311e-09
1377.02	8.6935e-09
1379.03	8.7888e-09
1381.03	8.7311e-09
1383.03	8.6944e-09
1385.05	8.8077e-09
1387.06	8.7496e-09
1389.08	8.7535e-09
1391.09	8.6985e-09
1393.11	8.5954e-09
1395.11	8.6347e-09
1397.11	8.6848e-09
1399.12	8.5405e-09
1401.14	8.5527e-09
1403.16	8.639e-09
1405.19	8.4879e-09
1407.2	8.4925e-09
1409.2	8.513e-09
1411.22	8.487e-09
1413.22	8.4517e-09
1415.23	8.4314e-09
1417.23	8.514e-09
1419.25	8.417e-09
1421.25	8.3972e-09
1423.25	8.4097e-09
1425.25	8.4683e-09
1427.27	8.2758e-09
1429.28	8.3414e-09
1431.28	8.3307e-09
1433.3	8.2959e-09
1435.3	8.2843e-09
1437.28	8.2796e-09
1439.3	8.3019e-09
1441.31	8.2294e-09
1443.33	8.1831e-09
1445.36	8.1392e-09
1447.38	8.1259e-09
1449.39	8.1902e-09
1451.41	8.0811e-09
1453.41	8.1499e-09
1455.42	8.1126e-09
1457.44	8.0862e-09
1459.45	8.114e-09
1461.48	8.0936e-09
1463.5	8.0833e-09
1465.5	8.0647e-09
1467.5	8.1086e-09
1469.52	7.9856e-09
1471.52	7.9544e-09
1473.53	8.0238e-09
1475.55	7.9027e-09
1477.55	7.94e-09
1479.55	7.9514e-09
1481.58	7.8608e-09
1483.58	7.8173e-09
1485.59	7.7934e-09
1487.59	7.7928e-09
1489.62	7.8485e-09
1491.62	7.7532e-09
1493.62	7.7251e-09
1495.64	7.7851e-09
1497.66	7.7677e-09
1499.69	7.6611e-09
1501.7	7.7092e-09
1503.7	7.7487e-09
1505.7	7.7227e-09
1507.7	7.6766e-09
1509.7	7.6322e-09
1511.7	7.6089e-09
1513.69	7.6691e-09
1515.7	7.6411e-09
1517.7	7.6094e-09
1519.67	7.5687e-09
1521.7	7.5772e-09
1523.7	7.5877e-09
1525.7	7.4693e-09
1527.73	7.5272e-09
1529.73	7.5617e-09
1531.75	7.4837e-09
1533.77	7.4675e-09
1535.78	7.5044e-09
1537.77	7.3929e-09
1539.78	7.4706e-09
1541.78	7.4973e-09
1543.78	7.4314e-09
1545.78	7.44e-09
1547.78	7.3886e-09
1549.77	7.4335e-09
1551.78	7.3289e-09
1553.77	7.2858e-09
1555.77	7.3254e-09
1557.78	7.3661e-09
1559.78	7.29e-09
1561.78	7.2709e-09
1563.81	7.2052e-09
1565.81	7.2826e-09
1567.81	7.2758e-09
1569.84	7.2191e-09
1571.84	7.1949e-09
1573.86	7.1942e-09
1575.89	7.2252e-09
1577.88	7.1287e-09
1579.89	7.1854e-09
1581.89	7.1767e-09
1583.89	7.1044e-09
1585.91	7.1231e-09
1587.92	7.1091e-09
1589.92	7.1187e-09
1591.94	7.0433e-09
1593.94	7.0373e-09
1595.95	7.0429e-09
1597.98	7.0735e-09
1600	6.9922e-09
1602	6.9532e-09
1604	6.9835e-09
1606.03	7.0035e-09
1608.03	6.9552e-09
1610.03	6.9639e-09
1612.03	6.9353e-09
1614.05	6.9239e-09
1616.05	6.9031e-09
1618.08	6.8373e-09
1620.08	6.9098e-09
1622.08	6.8076e-09
1624.06	6.9074e-09
1626.08	6.8819e-09
1628.08	6.9525e-09
1630.11	6.8569e-09
1632.09	6.859e-09
1634.12	6.7373e-09
1636.14	6.8027e-09
1638.16	6.7361e-09
1640.16	6.8598e-09
1642.16	6.7682e-09
1644.14	6.6412e-09
1646.16	6.7291e-09
1648.17	6.7357e-09
1650.19	6.7096e-09
1652.22	6.6417e-09
1654.23	6.6745e-09
1656.23	6.6658e-09
1658.27	6.5937e-09
1660.27	6.6525e-09
1662.27	6.5543e-09
1664.27	6.5738e-09
1666.28	6.6226e-09
1668.31	6.538e-09
1670.33	6.5464e-09
1672.33	6.5798e-09
1674.34	6.4707e-09
1676.36	6.5924e-09
1678.38	6.5491e-09
1680.38	6.5372e-09
1682.41	6.5528e-09
1684.41	6.4612e-09
1686.41	6.4226e-09
1688.42	6.4791e-09
1690.42	6.4939e-09
1692.45	6.4514e-09
1694.45	6.3326e-09
1696.45	6.3753e-09
1698.45	6.326e-09
1700.45	6.3314e-09
1702.47	6.3584e-09
1704.48	6.3644e-09
1706.52	6.3337e-09
1708.55	6.3179e-09
1710.56	6.3267e-09
1712.56	6.3565e-09
1714.56	6.2501e-09
1716.58	6.2513e-09
1718.61	6.2387e-09
1720.62	6.2172e-09
1722.62	6.2799e-09
1724.66	6.2424e-09
1726.67	6.1364e-09
1728.67	6.1489e-09
1730.67	6.139e-09
